,品目,,出し方,出し方のポイント等
か,買い物袋,,燃やすごみ,紙製のものは古紙(雑誌・その他の紙)へ
か,回覧板,,燃やすごみ,
か,カイロ(携帯用・蒸気タイプ),,燃やすごみ,
か,カイロの外包装,,プラスチック製容器包装,
か,カイロケース,,燃やすごみ,
か,カウベル,,小さな金属類,
か,カウル(バイク),,燃やすごみ,50cm以上のものは粗大ごみへ
か,カウンター,,粗大ごみ,
か,かかし,,粗大ごみ,事業で排出するものは事業系ごみ、家庭から出たもので50cm以下のものは燃やすごみへ
か,踵やすり,,燃やすごみ,金属製のものは小さな金属類へ
か,化学薬品,,販売店へ相談,
か,鏡,,燃えないごみ,新聞紙等に包み品名を表示する。50cm以上のものは粗大ごみへ
か,鏡餅の飾り,,燃やすごみ,紙製の飾りは古紙へ
か,鏡餅(プラスチック製の容器・包装),,プラスチック製容器包装,個包装の袋も対象。紙製の飾りは古紙へ。その他の飾り・食品残渣は燃やすごみへ
か,かき氷機(金属製),,小さな金属類,30cm以上のものは粗大ごみへ
か,かき氷機(プラスチック製),,燃やすごみ,50cm以上のものは粗大ごみへ
か,鍵,,小さな金属類,
か,かぎ針,,小さな金属類,金属製以外のものは燃やすごみへ
か,拡声器,,燃やすごみ,
か,攪拌機,,粗大ごみ,
か,家具転倒防止ポール,,粗大ごみ,プラスチック製で50cm未満のものは燃やすごみへ。金属製で30cm未満のものは小さな金属類へ
か,家計簿,,古紙(雑誌・その他の紙）,
か,掛け軸,,燃やすごみ,丸めて50cm以上のものは粗大ごみへ
か,笠,,燃やすごみ,
か,火災報知機,◎,燃やすごみ,電池は抜く
か,傘立て,,粗大ごみ,プラスチック製・木製で50cm未満のものは燃やすごみへ。陶器製で50cm未満のものは燃えないごみへ。金属製で30cm未満のものは小さな金属類へ。
か,傘袋,,燃やすごみ,
か,かさ(骨がプラスチック製),,燃やすごみ,
か,かさ(骨が金属製),,小さな金属類,骨組みと布部分に分け、布やビニールは燃やすごみへ。 持ち手はつけたまま出すことができます。
か,花材,,燃やすごみ,金属製のものは小さな金属類へ
か,歌詞カード,,古紙(雑誌・その他の紙）,
か,加湿器(プラスチック製),,燃やすごみ,50㎝以上のものは粗大ごみへ
か,菓子箱(紙製),,古紙(雑誌・その他の紙）,折りたたんで出す。食べ物の油等が付着しているものは燃やすごみへ
か,菓子箱(金属製),,缶・びん・ペットボトル,
か,菓子箱(プラスチック製),,プラスチック製容器包装,
か,果実酒びん(梅酒などを漬けるもの),,燃えないごみ,ふたは、プラスチック製のものは燃やすごみへ。金属製のものは小さな金属類へ
か,苛性ソーダ,,販売店へ相談,
か,化石,,燃えないごみ,
か,カセットコンロ(卓上コンロ),,小さな金属類,電池は抜く。30㎝以上のものは粗大ごみへ。 ガスボンベは中身を使い切って、スプレー缶へ。
か,カセットテープ,,燃やすごみ,
か,型紙,,古紙(雑誌・その他の紙）,
か,肩たたき,,燃やすごみ,
か,滑車(金属製),,小さな金属類,金属製以外のものは燃やすごみへ
か,カッターシート,,燃やすごみ,50cm以上のものは粗大ごみへ
か,カッターナイフ(セラミック製),,燃えないごみ,
か,カッターナイフ(金属製),,小さな金属類,プラスチック製のものは、刃以外は燃やすごみへ。
か,カップ酒,,缶・びん・ペットボトル,金属製のふたは小さな金属類へ。プラスチックのふたはプラスチック製容器包装へ。
か,カップホルダー,,燃やすごみ,
か,カップ麺の中の具の袋・スープの袋,,プラスチック製容器包装,
か,カップ麺の包装フィルム,,プラスチック製容器包装,
か,カップ麺の容器(紙製),,燃やすごみ,
か,カップ麺の容器のフタ(裏側が銀紙),,燃やすごみ,
か,カップ麺の容器のフタ(プラスチック製),,プラスチック製容器包装,
か,カップ麺の容器(プラスチック製),,プラスチック製容器包装,
か,かつら・つけ毛,,燃やすごみ,
か,家庭用低周波治療器,,燃やすごみ,50cm以上のものは粗大ごみへ
か,カトラリーケース,,燃やすごみ,金属製のものは小さな金属類へ、ガラス製のものは燃えないごみへ
か,蚊取り線香,,燃やすごみ,
か,蚊取り線香入れ(陶器製),,燃えないごみ,
か,蚊取り線香入れ(金属製),,小さな金属類,
か,蚊取り線香の缶,,小さな金属類,
か,蚊取りマット,,燃やすごみ,
か,門松,,粗大ごみ,50cm未満のものは燃やすごみへ
か,カドラー,,燃やすごみ,50㎝以上のものは粗大ごみへ
か,金網,,粗大ごみ,30cm未満のものは小さな金属類へ
か,金具,,小さな金属類,30cm以上のものは粗大ごみへ
か,金だらい,,粗大ごみ,30cm未満のものは小さな金属類へ
か,金たわし,,小さな金属類,
か,かなづち,,小さな金属類,
か,カヌー,,粗大ごみ,重量・サイズによっては一部除外あり
か,金ざる,,小さな金属類,30cm以上のものは粗大ごみへ
か,曲尺,,小さな金属類,30cm以上のものは粗大ごみへ
か,鐘,,小さな金属類,30cm以上のものは粗大ごみへ
か,金やすり,,小さな金属類,
か,かばん,,燃やすごみ,50㎝以上のものは粗大ごみへ
か,カビ取りスプレー,,プラスチック製容器包装,中身を使いきって エアゾール缶のものはスプレー缶へ
か,花びん(金属製),,小さな金属類,
か,花びん敷き(布製),,古布,
か,花びん(陶器・ガラス製),,燃えないごみ,新聞紙等に包み品名を表示する。50㎝以上のものは粗大ごみへ
か,兜,,燃やすごみ,50cm以上のものは粗大ごみへ
か,壁紙,,粗大ごみ,丸めて50cm未満であれば燃やすごみ
か,かま,,小さな金属類,新聞紙等に包み品名を表示する。
か,かまど,,粗大ごみ,
か,かまぼこ板,,燃やすごみ,
か,釜飯の容器(陶器製),,燃えないごみ,
か,紙おむつ,,燃やすごみ,汚物はトイレに流して
か,紙きれ,,古紙(雑誌・その他の紙）,
か,紙コップのフタ(プラスチック製),,プラスチック製容器包装,
か,紙コップ(未使用),,古紙(雑誌・その他の紙）,使用前は古紙(雑誌・その他の紙)へ。使用済は燃やすごみへ
か,紙皿(未使用),,古紙(雑誌・その他の紙）,使用前は古紙(雑誌・その他の紙)へ。使用済は燃やすごみへ
か,紙芝居,,古紙(雑誌・その他の紙）,
か,紙製発泡体,,燃やすごみ,
か,かみそり(持ち手がプラスチック製),,燃やすごみ,刃の部分はカバー等を付け、刃が出ないようにする。金属のみの替刃だけを出す場合は小さな金属類へ。
か,かみそり機(電気かみそり機),◎,燃やすごみ,電池・充電池等は抜く。 充電式で充電池を取り外せないものは、他の燃やすごみとは別の袋で出す。
か,かみそり洗浄機,◎,燃やすごみ,金属製のものは小さな金属類へ
か,かみそりの刃,,小さな金属類,新聞紙等に包み品名を表示する
か,かみそりの刃(カートリッジ式),,燃やすごみ,ケースに入れるか、紙で包むなどして出す。
か,神棚,,粗大ごみ,50cm未満のものは燃やすごみへ
か,紙テープ,,古紙(雑誌・その他の紙）,
か,紙粘土,,燃やすごみ,
か,髪の毛,,燃やすごみ,事業(理髪業等)で排出するものは、事業系ごみとして出す
か,紙の包装,,古紙(雑誌・その他の紙）,
か,紙パイプ,,古紙(雑誌・その他の紙）,
か,紙パック(内側がアルミ張りのもの),,燃やすごみ,
か,紙パンツ,,燃やすごみ,
か,紙ひも,,古紙(雑誌・その他の紙）,
か,紙風船,,古紙(雑誌・その他の紙）,
か,紙袋,,古紙(雑誌・その他の紙）,ビニール製などのひもは取り除く
か,紙やすり,,燃やすごみ,
か,甕(かめ),,燃えないごみ,50cm以上のものは粗大ごみへ
か,カメラケース(革製・布製),,燃やすごみ,
か,カメラ・デジタルカメラ(金属製),◎,小さな金属類,電池・充電池は抜く
か,カメラ・デジタルカメラ(プラスチック製),◎,燃やすごみ,電池は抜く。 充電式ものは充電池を抜いて。充電池は回収協力店へ。充電池を取り外せないものは、他の燃やすごみとは別の袋で出す。
か,カメラのファインダー,,燃やすごみ,
か,カメラ・ビデオの防水ケース,,燃やすごみ,
か,カメラのレンズ,,燃やすごみ,
か,カメラフィルムの保護バッグ,,燃やすごみ,
か,蚊帳,,燃やすごみ,
か,茅,,燃やすごみ,
か,カラオケ機,,粗大ごみ,
か,カラオケセット,,粗大ごみ,金属製で30㎝未満のものは小さな金属類へ プラスチック製のもので50㎝未満のものは燃やすごみへ
か,カラビナ,,小さな金属類,
か,カラー,,燃やすごみ,
か,カラーコーン,,粗大ごみ,50cm未満のものは燃やすごみへ
か,カラーコーンウェイト,,燃やすごみ,
か,カラーテープ,,燃やすごみ,
か,カラーフィルター,,燃やすごみ,
か,カラーボックス,,粗大ごみ,50cm未満のものは燃やすごみへ
か,刈り込みはさみ,,粗大ごみ,30㎝未満のものは小さな金属類へ。新聞紙等に包み品名を表示する。
か,軽石,,燃えないごみ,
か,かるた,,古紙(雑誌・その他の紙）,プラスチック製の物は燃やすごみへ
か,枯れ草,,燃やすごみ,大量に出す場合は収集事務所に相談
か,カレンダー,,古紙(雑誌・その他の紙）,金属部分は小さな金属類へ
か,革製品,,燃やすごみ,
か,瓦,,燃えないごみ,請負工事に伴い取り外したものは業者に処分を依頼する。
か,缶(飲料・食品用),,缶・びん・ペットボトル,飲料・食品用以外で30cm未満のものは小さな金属類へ。30cm以上は粗大ごみ
か,簡易充電器(携帯電話や電動歯ブラシなどの家電製品の充電器),◎,燃やすごみ,
か,簡易トイレ(置き型タイプ),,燃やすごみ,50cm以上のものは粗大ごみ(固めた汚物は燃やすごみへ)
か,缶(飲料・食品用以外),,小さな金属類,中身を使い切って。30cm以上のものは粗大ごみへ。エアゾール缶タイプのものはスプレー缶へ
か,換気扇(金属製),,粗大ごみ,30cm未満のものは小さな金属類へ
か,換気扇(プラスチック製),,燃やすごみ,50cm以上のものは粗大ごみへ
か,缶切り,,小さな金属類,
か,缶ケース,,小さな金属類,
か,緩衝材(紙製),,古紙(雑誌・その他の紙）,
か,干渉防止シート,,燃やすごみ,
